	ID	%Miss	inferred_cluster_1	inferred_cluster_2	replication	ref_pop
0	NP025001	(0)	0.997	0.003	1	1
1	NP025001	(0)	0.997	0.003	2	1
2	NP025001	(0)	0.997	0.003	3	1
3	NP025001	(0)	0.998	0.002	4	1
4	NP025001	(0)	0.998	0.002	5	1
5	NP025001	(0)	0.9990000000000001	0.001	6	1
6	NP025001	(0)	0.997	0.003	7	1
7	NP025001	(0)	0.997	0.003	8	1
8	NP025001	(0)	0.998	0.002	9	1
9	NP025001	(0)	0.998	0.002	10	1
10	NP025002	(0)	0.987	0.013000000000000001	1	1
11	NP025002	(0)	0.987	0.013000000000000001	2	1
12	NP025002	(0)	0.987	0.013000000000000001	3	1
13	NP025002	(0)	0.988	0.012	4	1
14	NP025002	(0)	0.988	0.012	5	1
15	NP025002	(0)	0.995	0.005	6	1
16	NP025002	(0)	0.988	0.012	7	1
17	NP025002	(0)	0.988	0.012	8	1
18	NP025002	(0)	0.9890000000000001	0.011000000000000001	9	1
19	NP025002	(0)	0.9890000000000001	0.011000000000000001	10	1
20	NP025003	(0)	0.992	0.008	1	1
21	NP025003	(0)	0.992	0.008	2	1
22	NP025003	(0)	0.992	0.008	3	1
23	NP025003	(0)	0.993	0.006999999999999999	4	1
24	NP025003	(0)	0.993	0.006999999999999999	5	1
25	NP025003	(0)	0.997	0.003	6	1
26	NP025003	(0)	0.992	0.008	7	1
27	NP025003	(0)	0.992	0.008	8	1
28	NP025003	(0)	0.993	0.006999999999999999	9	1
29	NP025003	(0)	0.9940000000000001	0.006	10	1
30	NP025004	(0)	0.99	0.01	1	1
31	NP025004	(0)	0.99	0.01	2	1
32	NP025004	(0)	0.99	0.01	3	1
33	NP025004	(0)	0.992	0.008	4	1
34	NP025004	(0)	0.991	0.009000000000000001	5	1
35	NP025004	(0)	0.996	0.004	6	1
36	NP025004	(0)	0.99	0.01	7	1
37	NP025004	(0)	0.988	0.012	8	1
38	NP025004	(0)	0.991	0.009000000000000001	9	1
39	NP025004	(0)	0.992	0.008	10	1
40	NP025005	(0)	0.9940000000000001	0.006	1	1
41	NP025005	(0)	0.9940000000000001	0.006	2	1
42	NP025005	(0)	0.9940000000000001	0.006	3	1
43	NP025005	(0)	0.995	0.005	4	1
44	NP025005	(0)	0.995	0.005	5	1
45	NP025005	(0)	0.998	0.002	6	1
46	NP025005	(0)	0.9940000000000001	0.006	7	1
47	NP025005	(0)	0.993	0.006999999999999999	8	1
48	NP025005	(0)	0.995	0.005	9	1
49	NP025005	(0)	0.996	0.004	10	1
50	NP025006	(0)	0.995	0.005	1	1
51	NP025006	(0)	0.995	0.005	2	1
52	NP025006	(0)	0.996	0.004	3	1
53	NP025006	(0)	0.996	0.004	4	1
54	NP025006	(0)	0.996	0.004	5	1
55	NP025006	(0)	0.998	0.002	6	1
56	NP025006	(0)	0.9940000000000001	0.006	7	1
57	NP025006	(0)	0.9940000000000001	0.006	8	1
58	NP025006	(0)	0.996	0.004	9	1
59	NP025006	(0)	0.996	0.004	10	1
60	NP025007	(0)	0.997	0.003	1	1
61	NP025007	(0)	0.996	0.004	2	1
62	NP025007	(0)	0.996	0.004	3	1
63	NP025007	(0)	0.997	0.003	4	1
64	NP025007	(0)	0.997	0.003	5	1
65	NP025007	(0)	0.9990000000000001	0.001	6	1
66	NP025007	(0)	0.996	0.004	7	1
67	NP025007	(0)	0.996	0.004	8	1
68	NP025007	(0)	0.997	0.003	9	1
69	NP025007	(0)	0.997	0.003	10	1
70	NP025008	(0)	0.992	0.008	1	1
71	NP025008	(0)	0.991	0.009000000000000001	2	1
72	NP025008	(0)	0.992	0.008	3	1
73	NP025008	(0)	0.993	0.006999999999999999	4	1
74	NP025008	(0)	0.993	0.006999999999999999	5	1
75	NP025008	(0)	0.997	0.003	6	1
76	NP025008	(0)	0.992	0.008	7	1
77	NP025008	(0)	0.991	0.009000000000000001	8	1
78	NP025008	(0)	0.992	0.008	9	1
79	NP025008	(0)	0.993	0.006999999999999999	10	1
80	NP025009	(0)	0.997	0.003	1	1
81	NP025009	(0)	0.996	0.004	2	1
82	NP025009	(0)	0.996	0.004	3	1
83	NP025009	(0)	0.997	0.003	4	1
84	NP025009	(0)	0.997	0.003	5	1
85	NP025009	(0)	0.9990000000000001	0.001	6	1
86	NP025009	(0)	0.996	0.004	7	1
87	NP025009	(0)	0.996	0.004	8	1
88	NP025009	(0)	0.997	0.003	9	1
89	NP025009	(0)	0.997	0.003	10	1
90	NP025010	(0)	0.9940000000000001	0.006	1	1
91	NP025010	(0)	0.993	0.006999999999999999	2	1
92	NP025010	(0)	0.9940000000000001	0.006	3	1
